scenario_number,API_low_ethinylestradiol,API_low_estradiol,API_medium_diclofenac,API_medium_ciprofloxacin,API_high_paracetamol,API_high_ibuprofen,P(API_RQ_FW_estradiol=-inf-0),P(API_RQ_FW_estradiol=0-1),P(API_RQ_FW_estradiol=1-3),P(API_RQ_FW_estradiol=3-10),P(API_RQ_FW_estradiol=10-30),P(API_RQ_FW_estradiol=30-100),P(API_RQ_FW_estradiol=100-300),P(API_RQ_FW_estradiol=300-1000),P(API_RQ_FW_estradiol=1000-3000),P(API_RQ_FW_estradiol=3000-inf),P(API_RQ_FW_ethinylestradiol=-inf-0),P(API_RQ_FW_ethinylestradiol=0-1),P(API_RQ_FW_ethinylestradiol=1-3),P(API_RQ_FW_ethinylestradiol=3-10),P(API_RQ_FW_ethinylestradiol=10-30),P(API_RQ_FW_ethinylestradiol=30-100),P(API_RQ_FW_ethinylestradiol=100-300),P(API_RQ_FW_ethinylestradiol=300-1000),P(API_RQ_FW_ethinylestradiol=1000-3000),P(API_RQ_FW_ethinylestradiol=3000-inf),P(API_RQ_FW_diclofenac=-inf-0),P(API_RQ_FW_diclofenac=0-1),P(API_RQ_FW_diclofenac=1-3),P(API_RQ_FW_diclofenac=3-10),P(API_RQ_FW_diclofenac=10-30),P(API_RQ_FW_diclofenac=30-100),P(API_RQ_FW_diclofenac=100-300),P(API_RQ_FW_diclofenac=300-1000),P(API_RQ_FW_diclofenac=1000-3000),P(API_RQ_FW_diclofenac=3000-inf),P(API_RQ_FW_ibuprofen=-inf-0),P(API_RQ_FW_ibuprofen=0-1),P(API_RQ_FW_ibuprofen=1-3),P(API_RQ_FW_ibuprofen=3-10),P(API_RQ_FW_ibuprofen=10-30),P(API_RQ_FW_ibuprofen=30-100),P(API_RQ_FW_ibuprofen=100-300),P(API_RQ_FW_ibuprofen=300-1000),P(API_RQ_FW_ibuprofen=1000-3000),P(API_RQ_FW_ibuprofen=3000-inf),P(API_RQ_FW_paracetamol=-inf-0),P(API_RQ_FW_paracetamol=0-1),P(API_RQ_FW_paracetamol=1-3),P(API_RQ_FW_paracetamol=3-10),P(API_RQ_FW_paracetamol=10-30),P(API_RQ_FW_paracetamol=30-100),P(API_RQ_FW_paracetamol=100-300),P(API_RQ_FW_paracetamol=300-1000),P(API_RQ_FW_paracetamol=1000-3000),P(API_RQ_FW_paracetamol=3000-inf),P(API_RQ_FW_ciprofloxacin=-inf-0),P(API_RQ_FW_ciprofloxacin=0-1),P(API_RQ_FW_ciprofloxacin=1-3),P(API_RQ_FW_ciprofloxacin=3-10),P(API_RQ_FW_ciprofloxacin=10-30),P(API_RQ_FW_ciprofloxacin=30-100),P(API_RQ_FW_ciprofloxacin=100-300),P(API_RQ_FW_ciprofloxacin=300-1000),P(API_RQ_FW_ciprofloxacin=1000-3000),P(API_RQ_FW_ciprofloxacin=3000-inf)
11,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.68328,0.06984,0.11152,0.09178,0.04359,0,0,0,0,0,0.00417,0.00417,0.02499,0.06665,0.13969,0.22124,0.31208,0.19614,0.03088,0,0.03692,0.06192,0.12932,0.3193,0.40428,0.04826,0,0,0,0,0.0058,0.01547,0.04306,0.09243,0.22358,0.34345,0.2557,0.02051,0,0,0.05591,0.08831,0.1986,0.38508,0.27209,0,0,0,0,0,0.19267,0.21362,0.38134,0.19098,0.02139,0,0,0,0
12,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.81392,0.11174,0.06799,0.00627,0.00009,0,0,0,0,0,0.01342,0.01342,0.0805,0.21466,0.33424,0.27177,0.06792,0.00391,0.00017,0,0.20084,0.16049,0.41599,0.22267,0,0,0,0,0,0,0.02167,0.05778,0.16872,0.33425,0.35072,0.06278,0.00409,0,0,0,0.20532,0.36726,0.38531,0.04211,0,0,0,0,0,0,0.45961,0.44167,0.09871,0,0,0,0,0,0
13,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.13943,0.13827,0.24589,0.30025,0.17617,0,0,0,0,0,0.00946,0.00946,0.05674,0.15129,0.20007,0.35468,0.21831,0,0,0,0.16836,0.13028,0.30077,0.30109,0.09943,0.00007,0,0,0,0,0.03578,0.09542,0.21442,0.24192,0.30092,0.10824,0.00328,0,0,0,0.22429,0.35657,0.39065,0.02768,0.0008,0,0,0,0,0,0.4365,0.41531,0.1482,0,0,0,0,0,0
14,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.15934,0.15382,0.26825,0.27445,0.14414,0,0,0,0,0,0.01043,0.01043,0.06261,0.16695,0.2332,0.33746,0.17892,0,0,0,0.20475,0.15564,0.329,0.266,0.04458,0.00003,0,0,0,0,0.04034,0.10757,0.23878,0.24987,0.2725,0.08826,0.00269,0,0,0,0.28492,0.36577,0.32609,0.02257,0.00066,0,0,0,0,0,0.49121,0.42907,0.07972,0,0,0,0,0,0
15,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.44554,0.31456,0.2206,0.0193,0,0,0,0,0,0,0.02776,0.02776,0.16658,0.44421,0.30122,0.03111,0.00135,0,0,0,0.32933,0.2636,0.40668,0.00039,0,0,0,0,0,0,0.09556,0.25483,0.48169,0.14683,0.02069,0.0004,0,0,0,0,0.91713,0.07772,0.00504,0.0001,0,0,0,0,0,0,0.558,0.442,0,0,0,0,0,0,0
16,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.73159,0.09316,0.12571,0.04823,0.00131,0,0,0,0,0,0.00803,0.00803,0.0482,0.12853,0.18411,0.30895,0.25134,0.0602,0.00262,0,0.10012,0.10452,0.1995,0.39995,0.19577,0.00014,0,0,0,0,0.01656,0.04416,0.09483,0.12971,0.38227,0.28798,0.04449,0,0,0,0.15287,0.09505,0.40983,0.33259,0.00966,0,0,0,0,0,0.3198,0.30612,0.29479,0.07923,0.00006,0,0,0,0
17,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.74595,0.09819,0.11552,0.03928,0.00107,0,0,0,0,0,0.00896,0.00896,0.05377,0.14338,0.21016,0.30538,0.21799,0.04925,0.00214,0,0.13163,0.1081,0.25244,0.41999,0.08778,0.00006,0,0,0,0,0.01738,0.04636,0.10796,0.1688,0.38144,0.24166,0.0364,0,0,0,0.16023,0.14777,0.41293,0.27117,0.00791,0,0,0,0,0,0.37751,0.33689,0.25006,0.03552,0.00003,0,0,0,0
18,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.92141,0.06863,0.00981,0.00014,0,0,0,0,0,0,0.0241,0.0241,0.14458,0.38555,0.31505,0.09484,0.01177,0,0,0,0.32915,0.26337,0.40672,0.00076,0,0,0,0,0,0,0.05893,0.15716,0.35437,0.33424,0.08994,0.00537,0,0,0,0,0.54675,0.39142,0.0606,0.00122,0,0,0,0,0,0,0.55769,0.44197,0.00034,0,0,0,0,0,0
19,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.72898,0.09152,0.1245,0.051,0.004,0,0,0,0,0,0.00505,0.00505,0.03032,0.08086,0.1507,0.2132,0.32048,0.18623,0.0081,0,0.06099,0.09646,0.12906,0.44787,0.26412,0.0015,0,0,0,0,0.00881,0.02351,0.06259,0.11484,0.22614,0.33829,0.22581,0,0,0,0.15045,0.08349,0.41,0.346,0.01005,0,0,0,0,0,0.25409,0.19992,0.37962,0.16623,0.00013,0,0,0,0
20,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.74306,0.09661,0.11507,0.04199,0.00327,0,0,0,0,0,0.00588,0.00588,0.03526,0.09404,0.16194,0.23822,0.29979,0.15237,0.00662,0,0.08509,0.08058,0.19845,0.51487,0.12024,0.00077,0,0,0,0,0.01071,0.02855,0.07263,0.12666,0.2595,0.31719,0.18476,0,0,0,0.15548,0.138,0.4162,0.2821,0.00823,0,0,0,0,0,0.28695,0.24229,0.39616,0.07453,0.00006,0,0,0,0
21,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.9159,0.0708,0.01286,0.00044,0,0,0,0,0,0,0.01642,0.01642,0.09853,0.26276,0.34401,0.22827,0.03358,0,0,0,0.32802,0.26219,0.40637,0.00342,0,0,0,0,0,0,0.03473,0.09262,0.23353,0.33686,0.27502,0.02723,0,0,0,0,0.53055,0.40513,0.06305,0.00127,0,0,0,0,0,0,0.55735,0.44195,0.00071,0,0,0,0,0,0
22,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.72898,0.09152,0.1245,0.051,0.004,0,0,0,0,0,0.00505,0.00505,0.03032,0.08086,0.1507,0.2132,0.32048,0.18623,0.0081,0,0.06099,0.09646,0.12906,0.44787,0.26412,0.0015,0,0,0,0,0.00881,0.02351,0.06259,0.11484,0.22614,0.33829,0.22581,0,0,0,0.15045,0.08349,0.41,0.346,0.01005,0,0,0,0,0,0.25409,0.19992,0.37962,0.16623,0.00013,0,0,0,0
23,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.74306,0.09661,0.11507,0.04199,0.00327,0,0,0,0,0,0.00588,0.00588,0.03526,0.09404,0.16194,0.23822,0.29979,0.15237,0.00662,0,0.08509,0.08058,0.19845,0.51487,0.12024,0.00077,0,0,0,0,0.01071,0.02855,0.07263,0.12666,0.2595,0.31719,0.18476,0,0,0,0.15548,0.138,0.4162,0.2821,0.00823,0,0,0,0,0,0.28695,0.24229,0.39616,0.07453,0.00006,0,0,0,0
24,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.9159,0.0708,0.01286,0.00044,0,0,0,0,0,0,0.01642,0.01642,0.09853,0.26276,0.34401,0.22827,0.03358,0,0,0,0.32802,0.26219,0.40637,0.00342,0,0,0,0,0,0,0.03473,0.09262,0.23353,0.33686,0.27502,0.02723,0,0,0,0,0.53055,0.40513,0.06305,0.00127,0,0,0,0,0,0,0.55735,0.44195,0.00071,0,0,0,0,0,0
25,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.62756,0.13458,0.12958,0.08624,0.02204,0,0,0,0,0,0.03125,0.03125,0.18752,0.50005,0.14778,0.08961,0.01254,0,0,0,0.65938,0.12744,0.12956,0.07381,0.00982,0,0,0,0,0,0.0916,0.24426,0.45075,0.10752,0.08028,0.02138,0.00422,0,0,0,0.77186,0.13724,0.08427,0.00663,0,0,0,0,0,0,0.81936,0.15395,0.02669,0,0,0,0,0,0
26,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.65458,0.11299,0.13615,0.08159,0.01469,0,0,0,0,0,0.03147,0.03147,0.1888,0.50346,0.15248,0.08573,0.00661,0,0,0,0.66736,0.12412,0.13072,0.06931,0.00851,0,0,0,0,0,0.09299,0.24796,0.45664,0.10474,0.07729,0.01756,0.00281,0,0,0,0.7793,0.14212,0.07636,0.00221,0,0,0,0,0,0,0.82265,0.15422,0.02313,0,0,0,0,0,0
27,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.7671,0.12521,0.09884,0.00886,0,0,0,0,0,0,0.03627,0.03627,0.21763,0.58035,0.1198,0.00928,0.0004,0,0,0,0.75901,0.08752,0.14448,0.009,0,0,0,0,0,0,0.10695,0.2852,0.51476,0.06715,0.02408,0.00186,0,0,0,0,0.92664,0.06622,0.00714,0,0,0,0,0,0,0,0.844,0.156,0,0,0,0,0,0,0
28,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.92987,0.04019,0.02658,0.00308,0.00028,0,0,0,0,0,0.02679,0.02679,0.16075,0.42866,0.16058,0.11876,0.06404,0.01306,0.00057,0,0.52777,0.2153,0.10217,0.12992,0.02484,0,0,0,0,0,0.07575,0.20199,0.38098,0.13273,0.13367,0.05956,0.01511,0.00021,0,0,0.64943,0.13104,0.14071,0.06456,0.01427,0,0,0,0,0,0.78813,0.13325,0.0708,0.00782,0,0,0,0,0
29,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.93287,0.04043,0.02481,0.0017,0.00019,0,0,0,0,0,0.02758,0.02758,0.16548,0.44129,0.14846,0.12195,0.05858,0.00871,0.00038,0,0.54429,0.20218,0.1059,0.12611,0.02152,0,0,0,0,0,0.07814,0.20838,0.38959,0.12321,0.1364,0.05347,0.01074,0.00007,0,0,0.6681,0.1193,0.14544,0.05764,0.00951,0,0,0,0,0,0.79229,0.13491,0.06602,0.00678,0,0,0,0,0
30,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.97424,0.02193,0.00372,0.00011,0,0,0,0,0,0,0.03224,0.03224,0.19342,0.5158,0.15427,0.06321,0.00883,0,0,0,0.75236,0.07895,0.14594,0.02276,0,0,0,0,0,0,0.09301,0.24802,0.46156,0.1225,0.06708,0.00758,0.00024,0,0,0,0.78771,0.13497,0.0707,0.00662,0,0,0,0,0,0,0.83675,0.1554,0.00785,0,0,0,0,0,0
31,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.92525,0.04156,0.02905,0.00374,0.0004,0,0,0,0,0,0.02574,0.02574,0.15445,0.41187,0.1652,0.11481,0.08283,0.01856,0.00081,0,0.48772,0.24341,0.09353,0.14584,0.02949,0,0,0,0,0,0.06776,0.18068,0.35208,0.16455,0.12789,0.07584,0.02968,0.00152,0,0,0.64203,0.13061,0.14412,0.0681,0.01514,0,0,0,0,0,0.77423,0.11886,0.09337,0.01355,0,0,0,0,0
32,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.92822,0.04193,0.02738,0.0022,0.00027,0,0,0,0,0,0.02683,0.02683,0.16097,0.42924,0.14448,0.11977,0.07898,0.01237,0.00054,0,0.50679,0.22714,0.09808,0.14243,0.02555,0,0,0,0,0,0.0706,0.18826,0.36264,0.15385,0.12766,0.07198,0.02451,0.00051,0,0,0.66138,0.11784,0.14963,0.06104,0.0101,0,0,0,0,0,0.77784,0.12143,0.08899,0.01174,0,0,0,0,0
33,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.97099,0.02435,0.0045,0.00016,0,0,0,0,0,0,0.03135,0.03135,0.18813,0.50168,0.15164,0.08356,0.01228,0,0,0,0.7503,0.0763,0.14639,0.02702,0,0,0,0,0,0,0.0899,0.23972,0.44524,0.11832,0.08563,0.01948,0.00171,0,0,0,0.77923,0.13914,0.07459,0.00703,0,0,0,0,0,0,0.83145,0.15495,0.0136,0,0,0,0,0,0
34,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.91959,0.04279,0.03136,0.00544,0.00083,0,0,0,0,0,0.02503,0.02503,0.15016,0.40044,0.16826,0.11267,0.09526,0.02218,0.00096,0,0.45756,0.26459,0.08703,0.15783,0.03299,0,0,0,0,0,0.06066,0.16176,0.32642,0.1928,0.12276,0.0903,0.04262,0.00267,0,0,0.64189,0.1306,0.14418,0.06817,0.01516,0,0,0,0,0,0.76384,0.10802,0.11028,0.01786,0,0,0,0,0
35,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.92288,0.04283,0.02994,0.0038,0.00055,0,0,0,0,0,0.02631,0.02631,0.15784,0.42091,0.14194,0.11883,0.09243,0.01479,0.00064,0,0.47855,0.24594,0.09219,0.15473,0.02859,0,0,0,0,0,0.0639,0.17039,0.33871,0.18105,0.1199,0.08843,0.03673,0.00089,0,0,0.66126,0.11782,0.14971,0.06111,0.01011,0,0,0,0,0,0.76702,0.11128,0.10621,0.01548,0,0,0,0,0
36,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.96646,0.02676,0.00645,0.00033,0,0,0,0,0,0,0.03075,0.03075,0.18451,0.49202,0.15041,0.09701,0.01455,0,0,0,0.74874,0.0743,0.14673,0.03023,0,0,0,0,0,0,0.08713,0.23235,0.43075,0.1146,0.1021,0.03005,0.00302,0,0,0,0.77907,0.13922,0.07466,0.00704,0,0,0,0,0,0,0.82745,0.15462,0.01792,0,0,0,0,0,0
