API_Name,sYear,ProductSaleGroup,Vet,AmountSold_g,InChIKey_string,PEC_gL,Desc_Short,Desc_Long
acitretin,2017,Prescription,Human,12354,IHUNBGSDBOWDMA-AQFIFDHZSA-N,3.59596070541964e-9,antipsoriatic,"teratogenic antipsoriatic retinoid, inhibits cell reproduction"
acitretin,2018,Prescription,Human,12336.5,IHUNBGSDBOWDMA-AQFIFDHZSA-N,3.506799847089268e-9,antipsoriatic,"teratogenic antipsoriatic retinoid, inhibits cell reproduction"
acitretin,2019,Prescription,Human,12033.5,IHUNBGSDBOWDMA-AQFIFDHZSA-N,3.476142722090137e-9,antipsoriatic,"teratogenic antipsoriatic retinoid, inhibits cell reproduction"
aclidinium bromide,2016,Prescription,Human,822.6033600000001,XLAKJQPTOJHYDR-QTQXQZBYSA-M,2.3619828910179554e-10,respiratory,muscarinic antagonist used to treat COPD
aclidinium bromide,2017,Prescription,Human,914.54928,XLAKJQPTOJHYDR-QTQXQZBYSA-M,2.662039237534259e-10,respiratory,muscarinic antagonist used to treat COPD
aclidinium bromide,2018,Prescription,Human,869.6434800000001,XLAKJQPTOJHYDR-QTQXQZBYSA-M,2.472067136291638e-10,respiratory,muscarinic antagonist used to treat COPD
aclidinium bromide,2019,Prescription,Human,789.1182,XLAKJQPTOJHYDR-QTQXQZBYSA-M,2.2795425169725094e-10,respiratory,muscarinic antagonist used to treat COPD
adapalene,2016,Prescription,Human,227444.28,LZCDAPDGXCYOEH-UHFFFAOYSA-N,6.530723361255141e-8,anti-acne,"anti-acne retinoid, inhibits cell reproduction"
adapalene,2017,Prescription,Human,245696.46,LZCDAPDGXCYOEH-UHFFFAOYSA-N,7.1516497945662e-8,anti-acne,"anti-acne retinoid, inhibits cell reproduction"
adapalene,2018,Prescription,Human,267527.88,LZCDAPDGXCYOEH-UHFFFAOYSA-N,7.60480467455207e-8,anti-acne,"anti-acne retinoid, inhibits cell reproduction"
adapalene,2019,Prescription,Human,287075.28,LZCDAPDGXCYOEH-UHFFFAOYSA-N,8.292804630938533e-8,anti-acne,"anti-acne retinoid, inhibits cell reproduction"
adefovir dipivoxil,2016,Prescription,Human,17.7,WOZSCQDILHKSGG-UHFFFAOYSA-N,5.0822910778066605e-12,antiviral,"prodrug of adefovir, a nucleotide analogue reverse-transcriptase inhibitor for hepatitis B"
adefovir dipivoxil,2017,Prescription,Human,15.3,WOZSCQDILHKSGG-UHFFFAOYSA-N,4.453472461787316e-12,antiviral,"prodrug of adefovir, a nucleotide analogue reverse-transcriptase inhibitor for hepatitis B"
adefovir dipivoxil,2018,Prescription,Human,7.5,WOZSCQDILHKSGG-UHFFFAOYSA-N,2.1319660238454594e-12,antiviral,"prodrug of adefovir, a nucleotide analogue reverse-transcriptase inhibitor for hepatitis B"
adefovir dipivoxil,2019,Prescription,Human,8.7,WOZSCQDILHKSGG-UHFFFAOYSA-N,2.513187491767498e-12,antiviral,"prodrug of adefovir, a nucleotide analogue reverse-transcriptase inhibitor for hepatitis B"
adrenaline,2016,Prescription,Human,61.06681194,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.7534424489986398e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc."
adrenaline,2016,Prescription,Vet,63.1158048,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.812276223749304e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc."
adrenaline,2017,Prescription,Human,61.3362035,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.7853535503126323e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc."
adrenaline,2017,Prescription,Vet,64.1815072,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.8681736919686554e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc."
adrenaline,2018,Prescription,Human,55.67994009,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.5827698730884092e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc."
adrenaline,2018,Prescription,Vet,62.9051504,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.788155245035848e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc."
adrenaline,2019,Prescription,Human,57.71426155,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.6672041405064124e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc."
adrenaline,2019,Prescription,Vet,58.675890912,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.694982932279915e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc."
afatinib,2016,Prescription,Human,264.32,ULXXDDBFHOBEHA-CWDCEQMOSA-N,7.58955467619128e-11,antineoplastic,tyrosine kinase inhibitor for lung carcinomas
afatinib,2017,Prescription,Human,294.28,ULXXDDBFHOBEHA-CWDCEQMOSA-N,8.565803111469092e-11,antineoplastic,tyrosine kinase inhibitor for lung carcinomas
afatinib,2018,Prescription,Human,200.76,ULXXDDBFHOBEHA-CWDCEQMOSA-N,5.706846652629526e-11,antineoplastic,tyrosine kinase inhibitor for lung carcinomas
afatinib,2019,Prescription,Human,235.76,ULXXDDBFHOBEHA-CWDCEQMOSA-N,6.81044923056443e-11,antineoplastic,tyrosine kinase inhibitor for lung carcinomas
aglepristone,2016,Prescription,Vet,1039.2,RTCKAOKDXNYXEH-FWSJOHTJSA-N,2.9839078463597076e-10,sex hormone,antiprogestogen used as abortifacient in animals
aglepristone,2017,Prescription,Vet,942.9,RTCKAOKDXNYXEH-FWSJOHTJSA-N,2.7445615583132415e-10,sex hormone,antiprogestogen used as abortifacient in animals
aglepristone,2018,Prescription,Vet,1002,RTCKAOKDXNYXEH-FWSJOHTJSA-N,2.8483066078575337e-10,sex hormone,antiprogestogen used as abortifacient in animals
aglepristone,2019,Prescription,Vet,873,RTCKAOKDXNYXEH-FWSJOHTJSA-N,2.5218536555322136e-10,sex hormone,antiprogestogen used as abortifacient in animals
albendazole,2016,Prescription,Vet,269372.5,HXHWSAZORRCQMX-UHFFFAOYSA-N,7.734629679980084e-8,anthelminthic,broad-spectrum human and veterinary benzimidazole antihelminthic
albendazole,2017,Prescription,Vet,296590,HXHWSAZORRCQMX-UHFFFAOYSA-N,8.633041813343137e-8,anthelminthic,broad-spectrum human and veterinary benzimidazole antihelminthic
albendazole,2018,Prescription,Vet,249897.5,HXHWSAZORRCQMX-UHFFFAOYSA-N,7.103639725918942e-8,anthelminthic,broad-spectrum human and veterinary benzimidazole antihelminthic
albendazole,2019,Prescription,Vet,237595,HXHWSAZORRCQMX-UHFFFAOYSA-N,6.863457265591939e-8,anthelminthic,broad-spectrum human and veterinary benzimidazole antihelminthic
alectinib,2017,Prescription,Human,1377.6,KDGFLJKFZUIJMX-UHFFFAOYSA-N,4.00987167539752e-10,antineoplastic,"anaplastic lymphoma kinase inhibitor, used for non-small-cell lung cancer"
alectinib,2018,Prescription,Human,5241.6,KDGFLJKFZUIJMX-UHFFFAOYSA-N,1.4899884147451149e-9,antineoplastic,"anaplastic lymphoma kinase inhibitor, used for non-small-cell lung cancer"
alectinib,2019,Prescription,Human,15187.2,KDGFLJKFZUIJMX-UHFFFAOYSA-N,4.387158744249581e-9,antineoplastic,"anaplastic lymphoma kinase inhibitor, used for non-small-cell lung cancer"
alendronic acid,2016,Prescription,Human,150355.3996,OGSPWJRAVKPPFI-UHFFFAOYSA-N,4.3172311067069784e-8,other musculoskeletal,"bisphosphonate treatment for osteoporosis, Paget's disease"
alendronic acid,2017,Prescription,Human,146830.78340000001,OGSPWJRAVKPPFI-UHFFFAOYSA-N,4.2739009831016874e-8,other musculoskeletal,"bisphosphonate treatment for osteoporosis, Paget's disease"
alendronic acid,2018,Prescription,Human,144256.8582,OGSPWJRAVKPPFI-UHFFFAOYSA-N,4.1006762718545634e-8,other musculoskeletal,"bisphosphonate treatment for osteoporosis, Paget's disease"
alendronic acid,2019,Prescription,Human,140754.6266,OGSPWJRAVKPPFI-UHFFFAOYSA-N,4.0660088158566066e-8,other musculoskeletal,"bisphosphonate treatment for osteoporosis, Paget's disease"
alfaxalone,2016,Prescription,Vet,36.7,DUHUCHOQIDJXAT-OLVMNOGESA-N,1.0537857771497428e-11,anaesthetic,GABA agonist veterinary sedative and anaesthetic
alfaxalone,2017,Prescription,Vet,121.2,DUHUCHOQIDJXAT-OLVMNOGESA-N,3.527848773651128e-11,anaesthetic,GABA agonist veterinary sedative and anaesthetic
alfaxalone,2018,Prescription,Vet,153.9,DUHUCHOQIDJXAT-OLVMNOGESA-N,4.374794280930883e-11,anaesthetic,GABA agonist veterinary sedative and anaesthetic
alfaxalone,2019,Prescription,Vet,203.3,DUHUCHOQIDJXAT-OLVMNOGESA-N,5.872770311222212e-11,anaesthetic,GABA agonist veterinary sedative and anaesthetic
alfentanil,2016,Prescription,Human,192.995,IDBPHNDTYPBSNI-UHFFFAOYSA-N,5.5415636528886813e-11,anaesthetic,opioid anaesthetic
alfentanil,2017,Prescription,Human,186.595,IDBPHNDTYPBSNI-UHFFFAOYSA-N,5.431344405275844e-11,anaesthetic,opioid anaesthetic
alfentanil,2018,Prescription,Human,189.865,IDBPHNDTYPBSNI-UHFFFAOYSA-N,5.397143054898909e-11,anaesthetic,opioid anaesthetic
alfentanil,2019,Prescription,Human,194.61,IDBPHNDTYPBSNI-UHFFFAOYSA-N,5.621740434170953e-11,anaesthetic,opioid anaesthetic
alimemazine,2016,Prescription,Human,175565.67,ZZHLYYDVIOPZBE-UHFFFAOYSA-N,5.0411064305658113e-8,antihistamine,"antihistamine, motion sickness and anti-anxiety drug"
alimemazine,2017,Prescription,Human,171501.43,ZZHLYYDVIOPZBE-UHFFFAOYSA-N,4.992005854000947e-8,antihistamine,"antihistamine, motion sickness and anti-anxiety drug"
alimemazine,2018,Prescription,Human,171914.52,ZZHLYYDVIOPZBE-UHFFFAOYSA-N,4.886878875276009e-8,antihistamine,"antihistamine, motion sickness and anti-anxiety drug"
alimemazine,2019,Prescription,Human,177117.34,ZZHLYYDVIOPZBE-UHFFFAOYSA-N,5.1164262467026576e-8,antihistamine,"antihistamine, motion sickness and anti-anxiety drug"
aliskiren,2016,Prescription,Human,2866.5,UXOWGYHJODZGMF-QORCZRPOSA-N,8.230727330244516e-10,antihypertensive,renin-inhibiting treatment for high blood pressure
aliskiren,2017,Prescription,Human,1440.6,UXOWGYHJODZGMF-QORCZRPOSA-N,4.1932499532358207e-10,antihypertensive,renin-inhibiting treatment for high blood pressure
alitretinoin,2016,Prescription,Human,2679.6,SHGAZHPCJJPHSC-ZVCIMWCZSA-N,7.69407184863883e-10,antineoplastic,antineoplastic retinoid and eczema treatment
alitretinoin,2017,Prescription,Human,3087,SHGAZHPCJJPHSC-ZVCIMWCZSA-N,8.98553561407676e-10,antineoplastic,antineoplastic retinoid and eczema treatment
alitretinoin,2018,Prescription,Human,3252.2999999999997,SHGAZHPCJJPHSC-ZVCIMWCZSA-N,9.245057465803449e-10,antineoplastic,antineoplastic retinoid and eczema treatment
alitretinoin,2019,Prescription,Human,3581.1,SHGAZHPCJJPHSC-ZVCIMWCZSA-N,1.0344799685940905e-9,antineoplastic,antineoplastic retinoid and eczema treatment
allopurinol,2016,Prescription,Human,2871723.8,OFCNXPDARWKPPY-UHFFFAOYSA-N,8.245726693031095e-7,antigout,"antigout medication, inhibits purine metabolism"
allopurinol,2017,Prescription,Human,3206720.8,OFCNXPDARWKPPY-UHFFFAOYSA-N,9.334014885908881e-7,antigout,"antigout medication, inhibits purine metabolism"
allopurinol,2018,Prescription,Human,3212108.7,OFCNXPDARWKPPY-UHFFFAOYSA-N,9.13080881773121e-7,antigout,"antigout medication, inhibits purine metabolism"
allopurinol,2019,Prescription,Human,3196137.4,OFCNXPDARWKPPY-UHFFFAOYSA-N,9.232750040977349e-7,antigout,"antigout medication, inhibits purine metabolism"
almotriptan,2016,Prescription,Human,1701.9375,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,4.886859757759646e-10,analgesic,triptan antimigraine medication
almotriptan,2017,Prescription,Human,1715.0249999999999,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,4.992036999200516e-10,analgesic,triptan antimigraine medication
almotriptan,2018,Prescription,Human,1813.0875,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,5.153921264345206e-10,analgesic,triptan antimigraine medication
almotriptan,2019,Prescription,Human,1760.9624999999999,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,5.086929802840946e-10,analgesic,triptan antimigraine medication
alprazolam,2016,Prescription,Human,1920.512000000001,VREFGVBLTWBCJP-UHFFFAOYSA-N,5.514463843175499e-10,anti-anxiety,"benzodiazepine used for anxiety, panic and depression, aka Xanax"
alprazolam,2017,Prescription,Human,1699.571,VREFGVBLTWBCJP-UHFFFAOYSA-N,4.947054016570149e-10,anti-anxiety,"benzodiazepine used for anxiety, panic and depression, aka Xanax"
alprazolam,2018,Prescription,Human,1621.41,VREFGVBLTWBCJP-UHFFFAOYSA-N,4.6090547076310224e-10,anti-anxiety,"benzodiazepine used for anxiety, panic and depression, aka Xanax"
alprazolam,2019,Prescription,Human,1583.6755,VREFGVBLTWBCJP-UHFFFAOYSA-N,4.5747970777225734e-10,anti-anxiety,"benzodiazepine used for anxiety, panic and depression, aka Xanax"
alprostadil,2016,Prescription,Human,11.99234,GMVPRGQOIOIIMI-DWKJAMRDSA-N,3.4434216149166065e-12,vasodilator,prostaglandin vasodilator for erectile dysfunction and neonatal heart issues
alprostadil,2017,Prescription,Human,12.92188,GMVPRGQOIOIIMI-DWKJAMRDSA-N,3.7612573029098216e-12,vasodilator,prostaglandin vasodilator for erectile dysfunction and neonatal heart issues
alprostadil,2018,Prescription,Human,11.87954,GMVPRGQOIOIIMI-DWKJAMRDSA-N,3.376903421188412e-12,vasodilator,prostaglandin vasodilator for erectile dysfunction and neonatal heart issues
alprostadil,2019,Prescription,Human,12.059140000000001,GMVPRGQOIOIIMI-DWKJAMRDSA-N,3.483549403387714e-12,vasodilator,prostaglandin vasodilator for erectile dysfunction and neonatal heart issues
altrenogest,2016,Prescription,Vet,44.88,VWAUPFMBXBWEQY-ANULTFPQSA-N,1.2886622800675873e-11,sex hormone,"veterinary birth control, progestin"
altrenogest,2017,Prescription,Vet,53.13,VWAUPFMBXBWEQY-ANULTFPQSA-N,1.546490143103007e-11,sex hormone,"veterinary birth control, progestin"
altrenogest,2018,Prescription,Vet,32.34,VWAUPFMBXBWEQY-ANULTFPQSA-N,9.193037494821622e-12,sex hormone,"veterinary birth control, progestin"
altrenogest,2019,Prescription,Vet,1860.0600000000002,VWAUPFMBXBWEQY-ANULTFPQSA-N,5.373194857398912e-10,sex hormone,"veterinary birth control, progestin"
ambrisentan,2016,Prescription,Human,117.9,OUJTZYPIHDYQMC-LJQANCHMSA-N,3.3853227009796914e-11,antihypertensive,endothelin receptor antagonist for pulmonary hypertension
ambrisentan,2017,Prescription,Human,130.95,OUJTZYPIHDYQMC-LJQANCHMSA-N,3.811648489353261e-11,antihypertensive,endothelin receptor antagonist for pulmonary hypertension
ambrisentan,2018,Prescription,Human,126.60000000000001,OUJTZYPIHDYQMC-LJQANCHMSA-N,3.5987586482511356e-11,antihypertensive,endothelin receptor antagonist for pulmonary hypertension
ambrisentan,2019,Prescription,Human,124.65,OUJTZYPIHDYQMC-LJQANCHMSA-N,3.600791044239295e-11,antihypertensive,endothelin receptor antagonist for pulmonary hypertension
amfetamine,2016,Prescription,Human,2363.055,KWTSXDURSIMDCE-UHFFFAOYSA-N,6.78516008071549e-10,stimulant,CNS stimulant for ADHD
amfetamine,2017,Prescription,Human,2438.82,KWTSXDURSIMDCE-UHFFFAOYSA-N,7.098835104088981e-10,stimulant,CNS stimulant for ADHD
amfetamine,2018,Prescription,Human,2229.57,KWTSXDURSIMDCE-UHFFFAOYSA-N,6.337823317046829e-10,stimulant,CNS stimulant for ADHD
amfetamine,2019,Prescription,Human,2190,KWTSXDURSIMDCE-UHFFFAOYSA-N,6.326299548242323e-10,stimulant,CNS stimulant for ADHD
amifampridine,2016,Prescription,Human,100,OYTKINVCDFNREN-UHFFFAOYSA-N,2.8713508914161926e-11,other nervous system,cholinergic muscle stimulant used to treat some rare diseases
amifampridine,2017,Prescription,Human,132,OYTKINVCDFNREN-UHFFFAOYSA-N,3.8422115356596445e-11,other nervous system,cholinergic muscle stimulant used to treat some rare diseases
amifampridine,2018,Prescription,Human,208,OYTKINVCDFNREN-UHFFFAOYSA-N,5.912652439464741e-11,other nervous system,cholinergic muscle stimulant used to treat some rare diseases
amifampridine,2019,Prescription,Human,296,OYTKINVCDFNREN-UHFFFAOYSA-N,8.550614914519304e-11,other nervous system,cholinergic muscle stimulant used to treat some rare diseases
amiloride,2016,Prescription,Human,14693.575,XSDQTOBWRPYKKA-UHFFFAOYSA-N,4.219040967434068e-9,diuretic,"potassium-sparing diuretic used for high blood pressure, heart failure"
amiloride,2017,Prescription,Human,12526.4375,XSDQTOBWRPYKKA-UHFFFAOYSA-N,3.6461532320620876e-9,diuretic,"potassium-sparing diuretic used for high blood pressure, heart failure"
amiloride,2018,Prescription,Human,11403.3175,XSDQTOBWRPYKKA-UHFFFAOYSA-N,3.241531395882979e-9,diuretic,"potassium-sparing diuretic used for high blood pressure, heart failure"
amiloride,2019,Prescription,Human,9697.7625,XSDQTOBWRPYKKA-UHFFFAOYSA-N,2.8014132658772305e-9,diuretic,"potassium-sparing diuretic used for high blood pressure, heart failure"
amiodarone,2016,Prescription,Human,292305.6,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,8.39311945125945e-8,cardiac,Group III antiarrhythmic for ventricular tachycardia or fibrillation
amiodarone,2017,Prescription,Human,302692.68,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,8.810676567088889e-8,cardiac,Group III antiarrhythmic for ventricular tachycardia or fibrillation
amiodarone,2018,Prescription,Human,314712.87,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,8.94609528142524e-8,cardiac,Group III antiarrhythmic for ventricular tachycardia or fibrillation
amiodarone,2019,Prescription,Human,339226.26,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,9.799301074839876e-8,cardiac,Group III antiarrhythmic for ventricular tachycardia or fibrillation
amisulpride,2016,Prescription,Human,77174.37,NTJOBXMMWNYJFB-UHFFFAOYSA-N,2.2159469609398305e-8,antipsychotic,"atypical benzamide antipsychotic, antiemetic"
amisulpride,2017,Prescription,Human,78455.64,NTJOBXMMWNYJFB-UHFFFAOYSA-N,2.283660341254244e-8,antipsychotic,"atypical benzamide antipsychotic, antiemetic"
amisulpride,2018,Prescription,Human,78187.365,NTJOBXMMWNYJFB-UHFFFAOYSA-N,2.2225707423200487e-8,antipsychotic,"atypical benzamide antipsychotic, antiemetic"
