API_Name,sYear,ProductSaleGroup,Vet,AmountSold_g,InChIKey_string,PEC_gL,Desc_Short,Desc_Long,B_Statement,P_Statement,PNEC_gL,RQ
aciclovir,2016,OTC,Human,18314.8,MKUXAQIIEYXACX-UHFFFAOYSA-N,5.258821730610928e-9,antiviral,topical and systemic HSV and varicella zoster treatment,low,high,2e-4,2.6294108653054638e-5
aciclovir,2016,Prescription,Human,415563.82,MKUXAQIIEYXACX-UHFFFAOYSA-N,1.1932295449973182e-7,antiviral,topical and systemic HSV and varicella zoster treatment,low,high,2e-4,5.966147724986591e-4
aciclovir,2017,OTC,Human,18232.8,MKUXAQIIEYXACX-UHFFFAOYSA-N,5.3071420066193314e-9,antiviral,topical and systemic HSV and varicella zoster treatment,low,high,2e-4,2.6535710033096655e-5
aciclovir,2017,Prescription,Human,391196.225,MKUXAQIIEYXACX-UHFFFAOYSA-N,1.1386807942435652e-7,antiviral,topical and systemic HSV and varicella zoster treatment,low,high,2e-4,5.693403971217826e-4
aciclovir,2018,OTC,Human,20978.6,MKUXAQIIEYXACX-UHFFFAOYSA-N,5.963421657045913e-9,antiviral,topical and systemic HSV and varicella zoster treatment,low,high,2e-4,2.981710828522956e-5
aciclovir,2018,Prescription,Human,394010.34,MKUXAQIIEYXACX-UHFFFAOYSA-N,1.1200222105650637e-7,antiviral,topical and systemic HSV and varicella zoster treatment,low,high,2e-4,5.600111052825318e-4
aciclovir,2019,OTC,Human,20316.15,MKUXAQIIEYXACX-UHFFFAOYSA-N,5.868769432284168e-9,antiviral,topical and systemic HSV and varicella zoster treatment,low,high,2e-4,2.934384716142084e-5
aciclovir,2019,Prescription,Human,410013.645,MKUXAQIIEYXACX-UHFFFAOYSA-N,1.184415131112643e-7,antiviral,topical and systemic HSV and varicella zoster treatment,low,high,2e-4,5.922075655563215e-4
acitretin,2016,Prescription,Human,11715.5,IHUNBGSDBOWDMA-AQFIFDHZSA-N,3.3639311368386403e-9,antipsoriatic,"teratogenic antipsoriatic retinoid, inhibits cell reproduction",NA,NA,NA,NA
acitretin,2017,Prescription,Human,12354,IHUNBGSDBOWDMA-AQFIFDHZSA-N,3.5959607054196405e-9,antipsoriatic,"teratogenic antipsoriatic retinoid, inhibits cell reproduction",NA,NA,NA,NA
acitretin,2018,Prescription,Human,12336.5,IHUNBGSDBOWDMA-AQFIFDHZSA-N,3.506799847089268e-9,antipsoriatic,"teratogenic antipsoriatic retinoid, inhibits cell reproduction",NA,NA,NA,NA
acitretin,2019,Prescription,Human,12033.5,IHUNBGSDBOWDMA-AQFIFDHZSA-N,3.476142722090137e-9,antipsoriatic,"teratogenic antipsoriatic retinoid, inhibits cell reproduction",NA,NA,NA,NA
aclidinium bromide,2016,Prescription,Human,822.6033600000001,XLAKJQPTOJHYDR-QTQXQZBYSA-M,2.361982891017955e-10,respiratory,muscarinic antagonist used to treat COPD,low,NA,NA,NA
aclidinium bromide,2017,Prescription,Human,914.54928,XLAKJQPTOJHYDR-QTQXQZBYSA-M,2.6620392375342587e-10,respiratory,muscarinic antagonist used to treat COPD,low,NA,NA,NA
aclidinium bromide,2018,Prescription,Human,869.6434800000001,XLAKJQPTOJHYDR-QTQXQZBYSA-M,2.472067136291638e-10,respiratory,muscarinic antagonist used to treat COPD,low,NA,NA,NA
aclidinium bromide,2019,Prescription,Human,789.1182,XLAKJQPTOJHYDR-QTQXQZBYSA-M,2.2795425169725094e-10,respiratory,muscarinic antagonist used to treat COPD,low,NA,NA,NA
adapalene,2016,Prescription,Human,227444.28,LZCDAPDGXCYOEH-UHFFFAOYSA-N,6.530723361255141e-8,anti-acne,"anti-acne retinoid, inhibits cell reproduction",NA,NA,NA,NA
adapalene,2017,Prescription,Human,245696.46,LZCDAPDGXCYOEH-UHFFFAOYSA-N,7.1516497945662e-8,anti-acne,"anti-acne retinoid, inhibits cell reproduction",NA,NA,NA,NA
adapalene,2018,Prescription,Human,267527.88,LZCDAPDGXCYOEH-UHFFFAOYSA-N,7.60480467455207e-8,anti-acne,"anti-acne retinoid, inhibits cell reproduction",NA,NA,NA,NA
adapalene,2019,Prescription,Human,287075.28,LZCDAPDGXCYOEH-UHFFFAOYSA-N,8.292804630938534e-8,anti-acne,"anti-acne retinoid, inhibits cell reproduction",NA,NA,NA,NA
adefovir dipivoxil,2016,Prescription,Human,17.7,WOZSCQDILHKSGG-UHFFFAOYSA-N,5.082291077806661e-12,antiviral,"prodrug of adefovir, a nucleotide analogue reverse-transcriptase inhibitor for hepatitis B",NA,NA,NA,NA
adefovir dipivoxil,2017,Prescription,Human,15.3,WOZSCQDILHKSGG-UHFFFAOYSA-N,4.453472461787316e-12,antiviral,"prodrug of adefovir, a nucleotide analogue reverse-transcriptase inhibitor for hepatitis B",NA,NA,NA,NA
adefovir dipivoxil,2018,Prescription,Human,7.5,WOZSCQDILHKSGG-UHFFFAOYSA-N,2.1319660238454594e-12,antiviral,"prodrug of adefovir, a nucleotide analogue reverse-transcriptase inhibitor for hepatitis B",NA,NA,NA,NA
adefovir dipivoxil,2019,Prescription,Human,8.7,WOZSCQDILHKSGG-UHFFFAOYSA-N,2.5131874917674978e-12,antiviral,"prodrug of adefovir, a nucleotide analogue reverse-transcriptase inhibitor for hepatitis B",NA,NA,NA,NA
adrenaline,2016,Prescription,Human,61.06681194,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.7534424489986398e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc.",NA,NA,NA,NA
adrenaline,2016,Prescription,Vet,63.1158048,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.812276223749304e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc.",NA,NA,NA,NA
adrenaline,2017,Prescription,Human,61.3362035,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.7853535503126323e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc.",NA,NA,NA,NA
adrenaline,2017,Prescription,Vet,64.1815072,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.868173691968655e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc.",NA,NA,NA,NA
adrenaline,2018,Prescription,Human,55.67994009,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.5827698730884092e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc.",NA,NA,NA,NA
adrenaline,2018,Prescription,Vet,62.9051504,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.788155245035848e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc.",NA,NA,NA,NA
adrenaline,2019,Prescription,Human,57.71426155,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.6672041405064124e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc.",NA,NA,NA,NA
adrenaline,2019,Prescription,Vet,58.675890912,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.6949829322799148e-11,other hormone,"natural hormone used as a medication for cardiac arrest, anaphylaxis, etc.",NA,NA,NA,NA
afatinib,2016,Prescription,Human,264.32,ULXXDDBFHOBEHA-CWDCEQMOSA-N,7.58955467619128e-11,antineoplastic,tyrosine kinase inhibitor for lung carcinomas,low,low,3.2e-6,2.3717358363097752e-5
afatinib,2017,Prescription,Human,294.28,ULXXDDBFHOBEHA-CWDCEQMOSA-N,8.565803111469092e-11,antineoplastic,tyrosine kinase inhibitor for lung carcinomas,low,low,3.2e-6,2.6768134723340914e-5
afatinib,2018,Prescription,Human,200.76,ULXXDDBFHOBEHA-CWDCEQMOSA-N,5.706846652629526e-11,antineoplastic,tyrosine kinase inhibitor for lung carcinomas,low,low,3.2e-6,1.783389578946727e-5
afatinib,2019,Prescription,Human,235.76,ULXXDDBFHOBEHA-CWDCEQMOSA-N,6.81044923056443e-11,antineoplastic,tyrosine kinase inhibitor for lung carcinomas,low,low,3.2e-6,2.128265384551384e-5
aglepristone,2016,Prescription,Vet,1039.2,RTCKAOKDXNYXEH-FWSJOHTJSA-N,2.9839078463597076e-10,sex hormone,antiprogestogen used as abortifacient in animals,NA,NA,NA,NA
aglepristone,2017,Prescription,Vet,942.9,RTCKAOKDXNYXEH-FWSJOHTJSA-N,2.7445615583132415e-10,sex hormone,antiprogestogen used as abortifacient in animals,NA,NA,NA,NA
aglepristone,2018,Prescription,Vet,1002,RTCKAOKDXNYXEH-FWSJOHTJSA-N,2.8483066078575337e-10,sex hormone,antiprogestogen used as abortifacient in animals,NA,NA,NA,NA
aglepristone,2019,Prescription,Vet,873,RTCKAOKDXNYXEH-FWSJOHTJSA-N,2.5218536555322136e-10,sex hormone,antiprogestogen used as abortifacient in animals,NA,NA,NA,NA
albendazole,2016,Prescription,Vet,269372.5,HXHWSAZORRCQMX-UHFFFAOYSA-N,7.734629679980084e-8,anthelminthic,broad-spectrum human and veterinary benzimidazole antihelminthic,NA,NA,NA,NA
albendazole,2017,Prescription,Vet,296590,HXHWSAZORRCQMX-UHFFFAOYSA-N,8.633041813343138e-8,anthelminthic,broad-spectrum human and veterinary benzimidazole antihelminthic,NA,NA,NA,NA
albendazole,2018,Prescription,Vet,249897.5,HXHWSAZORRCQMX-UHFFFAOYSA-N,7.103639725918942e-8,anthelminthic,broad-spectrum human and veterinary benzimidazole antihelminthic,NA,NA,NA,NA
albendazole,2019,Prescription,Vet,237595,HXHWSAZORRCQMX-UHFFFAOYSA-N,6.863457265591939e-8,anthelminthic,broad-spectrum human and veterinary benzimidazole antihelminthic,NA,NA,NA,NA
alectinib,2017,Prescription,Human,1377.6,KDGFLJKFZUIJMX-UHFFFAOYSA-N,4.00987167539752e-10,antineoplastic,"anaplastic lymphoma kinase inhibitor, used for non-small-cell lung cancer",NA,NA,NA,NA
alectinib,2018,Prescription,Human,5241.6,KDGFLJKFZUIJMX-UHFFFAOYSA-N,1.4899884147451146e-9,antineoplastic,"anaplastic lymphoma kinase inhibitor, used for non-small-cell lung cancer",NA,NA,NA,NA
alectinib,2019,Prescription,Human,15187.2,KDGFLJKFZUIJMX-UHFFFAOYSA-N,4.387158744249581e-9,antineoplastic,"anaplastic lymphoma kinase inhibitor, used for non-small-cell lung cancer",NA,NA,NA,NA
alendronic acid,2016,Prescription,Human,150355.3996,OGSPWJRAVKPPFI-UHFFFAOYSA-N,4.3172311067069784e-8,other musculoskeletal,"bisphosphonate treatment for osteoporosis, Paget's disease",low,moderate,1.1e-4,3.9247555515517984e-4
alendronic acid,2017,Prescription,Human,146830.7834,OGSPWJRAVKPPFI-UHFFFAOYSA-N,4.2739009831016874e-8,other musculoskeletal,"bisphosphonate treatment for osteoporosis, Paget's disease",low,moderate,1.1e-4,3.885364530092443e-4
alendronic acid,2018,Prescription,Human,144256.8582,OGSPWJRAVKPPFI-UHFFFAOYSA-N,4.1006762718545634e-8,other musculoskeletal,"bisphosphonate treatment for osteoporosis, Paget's disease",low,moderate,1.1e-4,3.727887519867785e-4
alendronic acid,2019,Prescription,Human,140754.6266,OGSPWJRAVKPPFI-UHFFFAOYSA-N,4.0660088158566066e-8,other musculoskeletal,"bisphosphonate treatment for osteoporosis, Paget's disease",low,moderate,1.1e-4,3.696371650778733e-4
alfaxalone,2016,Prescription,Vet,36.7,DUHUCHOQIDJXAT-OLVMNOGESA-N,1.0537857771497428e-11,anaesthetic,GABA agonist veterinary sedative and anaesthetic,NA,NA,NA,NA
alfaxalone,2017,Prescription,Vet,121.2,DUHUCHOQIDJXAT-OLVMNOGESA-N,3.5278487736511277e-11,anaesthetic,GABA agonist veterinary sedative and anaesthetic,NA,NA,NA,NA
alfaxalone,2018,Prescription,Vet,153.9,DUHUCHOQIDJXAT-OLVMNOGESA-N,4.3747942809308825e-11,anaesthetic,GABA agonist veterinary sedative and anaesthetic,NA,NA,NA,NA
alfaxalone,2019,Prescription,Vet,203.3,DUHUCHOQIDJXAT-OLVMNOGESA-N,5.872770311222212e-11,anaesthetic,GABA agonist veterinary sedative and anaesthetic,NA,NA,NA,NA
alfentanil,2016,Prescription,Human,192.995,IDBPHNDTYPBSNI-UHFFFAOYSA-N,5.5415636528886813e-11,anaesthetic,opioid anaesthetic,low,NA,NA,NA
alfentanil,2017,Prescription,Human,186.595,IDBPHNDTYPBSNI-UHFFFAOYSA-N,5.4313444052758434e-11,anaesthetic,opioid anaesthetic,low,NA,NA,NA
alfentanil,2018,Prescription,Human,189.865,IDBPHNDTYPBSNI-UHFFFAOYSA-N,5.3971430548989084e-11,anaesthetic,opioid anaesthetic,low,NA,NA,NA
alfentanil,2019,Prescription,Human,194.61,IDBPHNDTYPBSNI-UHFFFAOYSA-N,5.621740434170953e-11,anaesthetic,opioid anaesthetic,low,NA,NA,NA
alimemazine,2016,Prescription,Human,175565.67,ZZHLYYDVIOPZBE-UHFFFAOYSA-N,5.0411064305658113e-8,antihistamine,"antihistamine, motion sickness and anti-anxiety drug",low,high,NA,NA
alimemazine,2017,Prescription,Human,171501.43,ZZHLYYDVIOPZBE-UHFFFAOYSA-N,4.9920058540009476e-8,antihistamine,"antihistamine, motion sickness and anti-anxiety drug",low,high,NA,NA
alimemazine,2018,Prescription,Human,171914.52,ZZHLYYDVIOPZBE-UHFFFAOYSA-N,4.88687887527601e-8,antihistamine,"antihistamine, motion sickness and anti-anxiety drug",low,high,NA,NA
alimemazine,2019,Prescription,Human,177117.34,ZZHLYYDVIOPZBE-UHFFFAOYSA-N,5.1164262467026576e-8,antihistamine,"antihistamine, motion sickness and anti-anxiety drug",low,high,NA,NA
aliskiren,2016,Prescription,Human,2866.5,UXOWGYHJODZGMF-QORCZRPOSA-N,8.230727330244515e-10,antihypertensive,renin-inhibiting treatment for high blood pressure,NA,NA,NA,NA
aliskiren,2017,Prescription,Human,1440.6,UXOWGYHJODZGMF-QORCZRPOSA-N,4.1932499532358207e-10,antihypertensive,renin-inhibiting treatment for high blood pressure,NA,NA,NA,NA
alitretinoin,2016,Prescription,Human,2679.6,SHGAZHPCJJPHSC-ZVCIMWCZSA-N,7.69407184863883e-10,antineoplastic,antineoplastic retinoid and eczema treatment,NA,NA,NA,NA
alitretinoin,2017,Prescription,Human,3087,SHGAZHPCJJPHSC-ZVCIMWCZSA-N,8.98553561407676e-10,antineoplastic,antineoplastic retinoid and eczema treatment,NA,NA,NA,NA
alitretinoin,2018,Prescription,Human,3252.2999999999997,SHGAZHPCJJPHSC-ZVCIMWCZSA-N,9.245057465803447e-10,antineoplastic,antineoplastic retinoid and eczema treatment,NA,NA,NA,NA
alitretinoin,2019,Prescription,Human,3581.1,SHGAZHPCJJPHSC-ZVCIMWCZSA-N,1.0344799685940903e-9,antineoplastic,antineoplastic retinoid and eczema treatment,NA,NA,NA,NA
allopurinol,2016,Prescription,Human,2871723.8,OFCNXPDARWKPPY-UHFFFAOYSA-N,8.245726693031095e-7,antigout,"antigout medication, inhibits purine metabolism",low,NA,NA,NA
allopurinol,2017,Prescription,Human,3206720.8,OFCNXPDARWKPPY-UHFFFAOYSA-N,9.33401488590888e-7,antigout,"antigout medication, inhibits purine metabolism",low,NA,NA,NA
allopurinol,2018,Prescription,Human,3212108.7,OFCNXPDARWKPPY-UHFFFAOYSA-N,9.13080881773121e-7,antigout,"antigout medication, inhibits purine metabolism",low,NA,NA,NA
allopurinol,2019,Prescription,Human,3196137.4,OFCNXPDARWKPPY-UHFFFAOYSA-N,9.232750040977348e-7,antigout,"antigout medication, inhibits purine metabolism",low,NA,NA,NA
almotriptan,2016,Prescription,Human,1701.9375,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,4.886859757759645e-10,analgesic,triptan antimigraine medication,low,NA,NA,NA
almotriptan,2017,Prescription,Human,1715.025,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,4.992036999200516e-10,analgesic,triptan antimigraine medication,low,NA,NA,NA
almotriptan,2018,Prescription,Human,1813.0875,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,5.153921264345206e-10,analgesic,triptan antimigraine medication,low,NA,NA,NA
almotriptan,2019,Prescription,Human,1760.9625,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,5.086929802840945e-10,analgesic,triptan antimigraine medication,low,NA,NA,NA
alprazolam,2016,Prescription,Human,1920.512000000001,VREFGVBLTWBCJP-UHFFFAOYSA-N,5.514463843175499e-10,anti-anxiety,"benzodiazepine used for anxiety, panic and depression, aka Xanax",NA,NA,NA,NA
alprazolam,2017,Prescription,Human,1699.571,VREFGVBLTWBCJP-UHFFFAOYSA-N,4.947054016570148e-10,anti-anxiety,"benzodiazepine used for anxiety, panic and depression, aka Xanax",NA,NA,NA,NA
alprazolam,2018,Prescription,Human,1621.41,VREFGVBLTWBCJP-UHFFFAOYSA-N,4.6090547076310224e-10,anti-anxiety,"benzodiazepine used for anxiety, panic and depression, aka Xanax",NA,NA,NA,NA
alprazolam,2019,Prescription,Human,1583.6755,VREFGVBLTWBCJP-UHFFFAOYSA-N,4.5747970777225734e-10,anti-anxiety,"benzodiazepine used for anxiety, panic and depression, aka Xanax",NA,NA,NA,NA
alprostadil,2016,Prescription,Human,11.99234,GMVPRGQOIOIIMI-DWKJAMRDSA-N,3.4434216149166065e-12,vasodilator,prostaglandin vasodilator for erectile dysfunction and neonatal heart issues,low,NA,NA,NA
alprostadil,2017,Prescription,Human,12.92188,GMVPRGQOIOIIMI-DWKJAMRDSA-N,3.7612573029098216e-12,vasodilator,prostaglandin vasodilator for erectile dysfunction and neonatal heart issues,low,NA,NA,NA
alprostadil,2018,Prescription,Human,11.87954,GMVPRGQOIOIIMI-DWKJAMRDSA-N,3.3769034211884118e-12,vasodilator,prostaglandin vasodilator for erectile dysfunction and neonatal heart issues,low,NA,NA,NA
alprostadil,2019,Prescription,Human,12.05914,GMVPRGQOIOIIMI-DWKJAMRDSA-N,3.483549403387714e-12,vasodilator,prostaglandin vasodilator for erectile dysfunction and neonatal heart issues,low,NA,NA,NA
altrenogest,2016,Prescription,Vet,44.88,VWAUPFMBXBWEQY-ANULTFPQSA-N,1.2886622800675872e-11,sex hormone,"veterinary birth control, progestin",NA,NA,NA,NA
altrenogest,2017,Prescription,Vet,53.13,VWAUPFMBXBWEQY-ANULTFPQSA-N,1.5464901431030068e-11,sex hormone,"veterinary birth control, progestin",NA,NA,NA,NA
altrenogest,2018,Prescription,Vet,32.34,VWAUPFMBXBWEQY-ANULTFPQSA-N,9.193037494821622e-12,sex hormone,"veterinary birth control, progestin",NA,NA,NA,NA
altrenogest,2019,Prescription,Vet,1860.06,VWAUPFMBXBWEQY-ANULTFPQSA-N,5.373194857398912e-10,sex hormone,"veterinary birth control, progestin",NA,NA,NA,NA
ambrisentan,2016,Prescription,Human,117.9,OUJTZYPIHDYQMC-LJQANCHMSA-N,3.3853227009796914e-11,antihypertensive,endothelin receptor antagonist for pulmonary hypertension,low,NA,NA,NA
ambrisentan,2017,Prescription,Human,130.95,OUJTZYPIHDYQMC-LJQANCHMSA-N,3.811648489353261e-11,antihypertensive,endothelin receptor antagonist for pulmonary hypertension,low,NA,NA,NA
