"scenario_number","county","Year_and_Population_Growth","WWT_Scenario","Risk_Type","API_Name","Risk_Bin","Probability"
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ethinylestradiol","3000-inf",0.00909
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","diclofenac","-inf-0",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","diclofenac","0-1",0.11152
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","diclofenac","1-3",0.10517
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","diclofenac","3-10",0.26094
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","diclofenac","10-30",0.41122
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","diclofenac","30-100",0.11116
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","diclofenac","100-300",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","diclofenac","300-1000",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","diclofenac","1000-3000",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","diclofenac","3000-inf",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ibuprofen","-inf-0",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ibuprofen","0-1",0.02784
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ibuprofen","1-3",0.07424
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ibuprofen","3-10",0.17281
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ibuprofen","10-30",0.22783
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ibuprofen","30-100",0.33332
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ibuprofen","100-300",0.15331
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ibuprofen","300-1000",0.01065
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ibuprofen","1000-3000",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ibuprofen","3000-inf",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","paracetamol","-inf-0",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","paracetamol","0-1",0.1743
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","paracetamol","1-3",0.27493
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","paracetamol","3-10",0.40408
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","paracetamol","10-30",0.14669
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","paracetamol","30-100",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","paracetamol","100-300",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","paracetamol","300-1000",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","paracetamol","1000-3000",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","paracetamol","3000-inf",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ciprofloxacin","-inf-0",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ciprofloxacin","0-1",0.37198
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ciprofloxacin","1-3",0.40825
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ciprofloxacin","3-10",0.20242
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ciprofloxacin","10-30",0.01735
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ciprofloxacin","30-100",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ciprofloxacin","100-300",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ciprofloxacin","300-1000",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ciprofloxacin","1000-3000",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ciprofloxacin","3000-inf",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","estradiol","-inf-0",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","estradiol","0-1",0.14951
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","estradiol","1-3",0.158
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","estradiol","3-10",0.26762
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","estradiol","10-30",0.25629
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","estradiol","30-100",0.16858
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","estradiol","100-300",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","estradiol","300-1000",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","estradiol","1000-3000",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","estradiol","3000-inf",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ethinylestradiol","-inf-0",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ethinylestradiol","0-1",0.00492
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ethinylestradiol","1-3",0.00492
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ethinylestradiol","3-10",0.02954
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ethinylestradiol","10-30",0.07878
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ethinylestradiol","30-100",0.15763
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ethinylestradiol","100-300",0.25019
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ethinylestradiol","300-1000",0.31031
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ethinylestradiol","1000-3000",0.15688
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ethinylestradiol","3000-inf",0.00682
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","diclofenac","-inf-0",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","diclofenac","0-1",0.14846
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","diclofenac","1-3",0.12408
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","diclofenac","3-10",0.33393
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","diclofenac","10-30",0.34806
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","diclofenac","30-100",0.045469999999999997
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","diclofenac","100-300",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","diclofenac","300-1000",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","diclofenac","1000-3000",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","diclofenac","3000-inf",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ibuprofen","-inf-0",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ibuprofen","0-1",0.03455
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ibuprofen","1-3",0.09214
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ibuprofen","3-10",0.21068
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ibuprofen","10-30",0.24862
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ibuprofen","30-100",0.29454
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ibuprofen","100-300",0.11148
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ibuprofen","300-1000",0.00799
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ibuprofen","1000-3000",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ibuprofen","3000-inf",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","paracetamol","-inf-0",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","paracetamol","0-1",0.24612
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","paracetamol","1-3",0.30484
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","paracetamol","3-10",0.34514
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","paracetamol","10-30",0.10391
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","paracetamol","30-100",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","paracetamol","100-300",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","paracetamol","300-1000",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","paracetamol","1000-3000",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","paracetamol","3000-inf",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ciprofloxacin","-inf-0",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ciprofloxacin","0-1",0.44323
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ciprofloxacin","1-3",0.43092
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ciprofloxacin","3-10",0.11875
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ciprofloxacin","10-30",0.0071
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ciprofloxacin","30-100",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ciprofloxacin","100-300",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ciprofloxacin","300-1000",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ciprofloxacin","1000-3000",0
2,"Troms & Finnmark (Rural)","2020 & None","Partial Upgrade","API_RQ_FW","ciprofloxacin","3000-inf",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","estradiol","-inf-0",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","estradiol","0-1",0.44659
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","estradiol","1-3",0.29211
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","estradiol","3-10",0.21892
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","estradiol","10-30",0.03912
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","estradiol","30-100",0.00325
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","estradiol","100-300",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","estradiol","300-1000",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","estradiol","1000-3000",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","estradiol","3000-inf",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ethinylestradiol","-inf-0",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ethinylestradiol","0-1",0.0156
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ethinylestradiol","1-3",0.0156
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ethinylestradiol","3-10",0.09362
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ethinylestradiol","10-30",0.24967
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ethinylestradiol","30-100",0.35561
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ethinylestradiol","100-300",0.23531
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ethinylestradiol","300-1000",0.03459
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ethinylestradiol","1000-3000",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ethinylestradiol","3000-inf",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","diclofenac","-inf-0",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","diclofenac","0-1",0.29797
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","diclofenac","1-3",0.27626
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","diclofenac","3-10",0.42578
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","diclofenac","10-30",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","diclofenac","30-100",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","diclofenac","100-300",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","diclofenac","300-1000",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","diclofenac","1000-3000",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","diclofenac","3000-inf",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ibuprofen","-inf-0",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ibuprofen","0-1",0.08988
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ibuprofen","1-3",0.23968
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ibuprofen","3-10",0.46194
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ibuprofen","10-30",0.17593
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ibuprofen","30-100",0.0314
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ibuprofen","100-300",0.00118
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ibuprofen","300-1000",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ibuprofen","1000-3000",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ibuprofen","3000-inf",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","paracetamol","-inf-0",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","paracetamol","0-1",0.79985
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","paracetamol","1-3",0.18041
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","paracetamol","3-10",0.01975
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","paracetamol","10-30",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","paracetamol","30-100",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","paracetamol","100-300",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","paracetamol","300-1000",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","paracetamol","1000-3000",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","paracetamol","3000-inf",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ciprofloxacin","-inf-0",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ciprofloxacin","0-1",0.5372
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ciprofloxacin","1-3",0.4628
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ciprofloxacin","3-10",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ciprofloxacin","10-30",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ciprofloxacin","30-100",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ciprofloxacin","100-300",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ciprofloxacin","300-1000",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ciprofloxacin","1000-3000",0
3,"Troms & Finnmark (Rural)","2020 & None","Advanced Upgrade","API_RQ_FW","ciprofloxacin","3000-inf",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","estradiol","-inf-0",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","estradiol","0-1",0.66909
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","estradiol","1-3",0.05923
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","estradiol","3-10",0.10772
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","estradiol","10-30",0.10791
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","estradiol","30-100",0.05606
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","estradiol","100-300",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","estradiol","300-1000",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","estradiol","1000-3000",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","estradiol","3000-inf",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ethinylestradiol","-inf-0",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ethinylestradiol","0-1",0.00375
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ethinylestradiol","1-3",0.00375
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ethinylestradiol","3-10",0.0225
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ethinylestradiol","10-30",0.05999
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ethinylestradiol","30-100",0.13099
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ethinylestradiol","100-300",0.21198
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ethinylestradiol","300-1000",0.34878
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ethinylestradiol","1000-3000",0.20918
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ethinylestradiol","3000-inf",0.00909
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","diclofenac","-inf-0",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","diclofenac","0-1",0.06284
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","diclofenac","1-3",0.07188
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","diclofenac","3-10",0.18333
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","diclofenac","10-30",0.44963
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","diclofenac","30-100",0.21248
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","diclofenac","100-300",0.01984
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","diclofenac","300-1000",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","diclofenac","1000-3000",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","diclofenac","3000-inf",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ibuprofen","-inf-0",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ibuprofen","0-1",0.00728
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ibuprofen","1-3",0.01942
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ibuprofen","3-10",0.05205
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ibuprofen","10-30",0.10698
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ibuprofen","30-100",0.25846
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ibuprofen","100-300",0.34475
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ibuprofen","300-1000",0.21104
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ibuprofen","1000-3000",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ibuprofen","3000-inf",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","paracetamol","-inf-0",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","paracetamol","0-1",0.10474
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","paracetamol","1-3",0.10988
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","paracetamol","3-10",0.3961
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","paracetamol","10-30",0.33876
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","paracetamol","30-100",0.05052
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","paracetamol","100-300",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","paracetamol","300-1000",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","paracetamol","1000-3000",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","paracetamol","3000-inf",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ciprofloxacin","-inf-0",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ciprofloxacin","0-1",0.24636
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ciprofloxacin","1-3",0.25592
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ciprofloxacin","3-10",0.4045
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ciprofloxacin","10-30",0.09321
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ciprofloxacin","30-100",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ciprofloxacin","100-300",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ciprofloxacin","300-1000",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ciprofloxacin","1000-3000",0
4,"Troms & Finnmark (Rural)","2050 & Low","Baseline","API_RQ_FW","ciprofloxacin","3000-inf",0
5,"Troms & Finnmark (Rural)","2050 & Low","Partial Upgrade","API_RQ_FW","estradiol","-inf-0",0
5,"Troms & Finnmark (Rural)","2050 & Low","Partial Upgrade","API_RQ_FW","estradiol","0-1",0.68406
5,"Troms & Finnmark (Rural)","2050 & Low","Partial Upgrade","API_RQ_FW","estradiol","1-3",0.07049
5,"Troms & Finnmark (Rural)","2050 & Low","Partial Upgrade","API_RQ_FW","estradiol","3-10",0.11212
5,"Troms & Finnmark (Rural)","2050 & Low","Partial Upgrade","API_RQ_FW","estradiol","10-30",0.09128
5,"Troms & Finnmark (Rural)","2050 & Low","Partial Upgrade","API_RQ_FW","estradiol","30-100",0.04205
5,"Troms & Finnmark (Rural)","2050 & Low","Partial Upgrade","API_RQ_FW","estradiol","100-300",0
5,"Troms & Finnmark (Rural)","2050 & Low","Partial Upgrade","API_RQ_FW","estradiol","300-1000",0
